('201419_14100400_9.6_155.1_40_996', tensor(62.8343))
('201419_14100406_10.4_154.0_45_990', tensor(72.3612))
('201419_14100412_11.1_152.9_50_985', tensor(56.1600))
('201419_14100418_12.0_151.5_55_980', tensor(65.1840))
('201419_14100500_12.5_150.0_60_975', tensor(71.5487))
('201419_14100506_13.3_148.5_60_975', tensor(67.3130))
('201419_14100512_13.8_146.9_60_975', tensor(45.8549))
('201419_14100518_14.5_145.1_60_975', tensor(52.4761))
('201419_14100600_15.1_143.3_60_975', tensor(62.2597))
('201419_14100606_15.8_141.3_60_975', tensor(68.4688))
('201419_14100612_16.5_139.7_60_975', tensor(73.1300))
('201419_14100618_16.8_138.1_70_965', tensor(56.1740))
('201419_14100700_16.9_136.5_80_950', tensor(73.1640))
('201419_14100706_17.3_135.4_90_935', tensor(96.0369))
('201419_14100712_17.4_134.2_105_915', tensor(106.2139))
('201419_14100718_17.7_133.2_115_900', tensor(109.8933))
('201419_14100800_17.9_132.2_115_900', tensor(107.3218))
('201419_14100806_18.2_131.5_115_900', tensor(104.3973))
('201419_14100812_18.4_131.0_115_900', tensor(104.1517))
('201419_14100818_18.8_130.5_110_905', tensor(103.4452))
('201419_14100900_19.2_130.0_110_905', tensor(100.1969))
('201419_14100906_19.7_129.9_105_915', tensor(106.1050))
('201419_14100912_20.2_129.6_100_925', tensor(103.8117))
('201419_14100918_20.8_129.4_100_925', tensor(88.6771))
('201419_14101000_21.4_129.4_100_925', tensor(86.4325))
('201419_14101006_22.2_129.3_100_925', tensor(91.8361))
('201419_14101012_23.1_129.2_95_935', tensor(81.4688))
('201419_14101018_23.8_129.0_90_940', tensor(75.8560))
('201420_14103106_12.5_136.4_35_1000', tensor(58.3594))
('201420_14103112_12.6_135.5_35_998', tensor(55.1328))
('201420_14103118_12.9_134.6_40_992', tensor(50.4962))
('201420_14110100_13.0_134.0_55_980', tensor(72.7099))
('201420_14110106_13.5_133.7_55_975', tensor(73.6004))
('201420_14110112_14.1_133.5_65_965', tensor(65.7566))
('201420_14110118_14.8_133.1_75_955', tensor(69.1896))
('201420_14110200_15.4_132.8_85_940', tensor(82.1214))
('201420_14110206_16.3_132.7_95_930', tensor(96.3884))
('201420_14110212_17.2_132.5_110_910', tensor(100.8249))
('201420_14110218_17.8_132.4_110_910', tensor(102.6962))
('201420_14110300_18.4_132.5_110_910', tensor(105.6602))
('201420_14110306_19.0_132.9_110_910', tensor(107.0448))
('201420_14110312_19.8_133.5_105_915', tensor(101.5777))
('201420_14110318_20.5_134.3_105_920', tensor(97.5353))
('201420_14110400_21.3_135.0_100_925', tensor(104.5009))
('201420_14110406_22.1_135.5_95_930', tensor(90.5855))
('201420_14110412_23.0_136.2_90_935', tensor(80.4437))
('201420_14110418_23.9_136.8_85_940', tensor(77.2891))
('201420_14110500_24.6_137.3_80_945', tensor(74.1649))
('201420_14110506_25.5_138.1_75_950', tensor(69.8877))
('201420_14110512_26.2_138.9_70_960', tensor(59.4109))
('201420_14110518_27.2_139.4_60_970', tensor(56.1719))
('201420_14110600_28.3_139.9_60_975', tensor(50.3461))
('201420_14110606_29.8_141.5_60_975', tensor(44.8161))
('201420_14110612_32.1_143.4_60_980', tensor(45.7411))
('201421_14112806_11.5_115.8_40_996', tensor(67.5947))
('201421_14112812_11.9_114.5_45_992', tensor(84.8488))
('201421_14112818_12.2_113.1_45_992', tensor(61.2783))
('201421_14112900_12.7_111.8_45_990', tensor(53.6297))
('201421_14112906_13.0_110.7_45_992', tensor(42.6548))
('201421_14112912_13.2_110.0_45_992', tensor(43.1804))
('201421_14112918_13.4_109.2_45_992', tensor(37.3425))
